artist_name,track_name,spotify_track_id,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
Mac Miller,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,Circles,2020-01-17,209440,72,,,,,,,,,,,,
Mac Miller,Complicated,3WfSNAoj2D8C9noPSGZZFM,Circles,2020-01-17,232211,62,,,,,,,,,,,,
Mac Miller,Circles,4jXl6VtkFFKIt3ycUQc5LT,Circles,2020-01-17,170360,66,,,,,,,,,,,,
Joyner Lucas,Broke and Stupid,6PdNVoAN90YiBxfVq0tBxy,ADHD,2020-03-27,238084,38,,,,,,,,,,,,
Joyner Lucas,Will,6WI33r2QRxyxttn3KH0XkC,Will (Remix),2020-05-15,164475,49,,,,,,,,,,,,
Joyner Lucas,Still Cant Love (feat. King Osf & Fabolous),0VUGAUZYtIiVKlwX1GfxSh,ADHD,2020-03-27,236870,42,,,,,,,,,,,,
Joyner Lucas,ADHD,4X4v3KtkUXwXvDBw5KS9cp,ADHD,2020-03-27,205872,58,,,,,,,,,,,,
Joyner Lucas,Comprehensive Evaluation (Skit),4YbAtlV4m7e5uQDHGg09ui,ADHD,2020-03-27,125183,28,,,,,,,,,,,,
Joyner Lucas,Revenge,69fnnbeoZO9h16CUZGIbTG,ADHD,2020-03-27,269083,55,,,,,,,,,,,,
Joyner Lucas,10 Bands (feat. Timbaland),4Ug1vwXoxWVZkarqB4XPfh,ADHD,2020-03-27,214944,45,,,,,,,,,,,,
Joyner Lucas,Finally (feat. Chris Brown),5IfG02WEQQxkta6mAamFsZ,ADHD,2020-03-27,215843,52,,,,,,,,,,,,
Joyner Lucas,Gold Mine,3uy3OQDl4kgUT3Iz9S4km4,ADHD,2020-03-27,190307,40,,,,,,,,,,,,
Joyner Lucas,Kevin (Skit),6RpWbtU34fvOjXblChlkGL,ADHD 2,2025-07-18,53283,42,,,,,,,,,,,,
Joyner Lucas,Lotto,0KigswMMmTb5BseaLT8MwW,ADHD,2020-03-27,230320,49,,,,,,,,,,,,
Joyner Lucas,Devil's Work,3FpmWMmuQfQLpyVD7t5CCE,ADHD,2020-03-27,285048,47,,,,,,,,,,,,
Joyner Lucas,I Love,5cEqfElQEKHTsZsoMaYRWB,ADHD,2020-03-27,210064,56,,,,,,,,,,,,
Joyner Lucas,Chris (Skit),4OVouIBPnnjMsqhRvFdK1z,ADHD,2020-03-27,58303,29,,,,,,,,,,,,
Joyner Lucas,The War (Feat. Young Thug),2o1dvKh58G11C51Y9EgBs3,ADHD,2020-03-27,216470,46,,,,,,,,,,,,
Joyner Lucas,ISIS (feat. Logic),4h7qcXBtaOJnmrapxoWxGf,ADHD,2020-03-27,236501,64,,,,,,,,,,,,
Joyner Lucas,I Lied (Intro),4LGBvq6TRWVIeZ7CFyGsEd,ADHD,2020-03-27,251496,42,,,,,,,,,,,,
Joyner Lucas,Screening Evaluation (Skit),0Roxpx9pt4auJmIonkuAme,ADHD,2020-03-27,169559,28,,,,,,,,,,,,
Witt Lowry,Oxygin,3fE8njy5zdZZCucQbDkxkW,NEVERS ROAD,2019-08-30,241548,40,,,,,,,,,,,,
Mike Stud,All That Talk,4c1BAfuPGZSun6aAvmmoHs,All That Talk,2017-06-23,176613,32,,,,,,,,,,,,
NF,Breathe,4Jtn7b3hgyzSQKj9ZMiht3,Therapy Session,2016-04-22,259106,50,christian hip hop,,,,,,,,,,,
Mike Will Made-It,Drinks On Us,3Z4iF2sFcW63WclmUYd7IE,Drinks On Us,2015-03-06,311163,47,,,,,,,,,,,,
NF,Options,1Q3HtTFGxjmEljAw7Y0CaR,The Search,2019-07-26,206040,56,christian hip hop,,,,,,,,,,,
NF,One Hundred,0zdycLZKxVZ3EA8Nuxo35M,Perception,2017-10-06,192800,50,christian hip hop,,,,,,,,,,,
Lil Dicky,Freaky Friday (feat. Chris Brown),6dbSBQXCctYSVryynHXaZ4,Freaky Friday (feat. Chris Brown),2018-03-16,216631,73,,,,,,,,,,,,
Brain,Cocaine (feat. Lil Dicky),3NxEZghrov7cHa7YO4F9ap,I'm Brain,2017-09-14,241592,34,,,,,,,,,,,,
NF,My Life,1kO0nC4VnEjMBeJZI7g2T2,Perception,2017-10-06,215600,61,christian hip hop,,,,,,,,,,,
gianni & kyle,u&me&hennessy,6NVxyokqFbUqpjAZtL3jHE,she's no angel,2018-11-01,208167,26,,,,,,,,,,,,
The Lumineers,Salt And The Sea - Recorded at Electric Lady Studios NYC,7aGPEHOboWuZmcL8lRkjWg,Spotify Singles,2020-03-18,314762,26,folk pop,,,,,,,,,,,
The Lumineers,Long Way from Home,3ySCUGgxRXaP39gbO9Zu3Z,Cleopatra,2016-04-08,152280,61,folk pop,,,,,,,,,,,
